cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,pretrain_rounds,pretrain_epochs,model_options,evidence,literature
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k1,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,0,92,7,0,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k1,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,0,92,7,1,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k1,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,0,92,7,2,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k64,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,1,91,7,0,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,64,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k64,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,1,91,7,1,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,64,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k64,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,1,91,7,2,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,64,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k1024,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,2,90,7,0,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k1024,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,2,90,7,1,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse-k1024,structure_adaptive_pairset_dbitnet,arx_partial_inverse_keyrotation_r7,2,90,7,2,65536,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,4,0.0,,0,{},SPECK32 r7 key-rotation sensitivity screen for public partial-inverse ARX representation,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX key-rotation protocol diagnosis
