cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,feature_encoding,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
SPECK32/64,ARX,arx_round_function_hybrid_pairset,ARX-RoundFunctionHybrid-CarryChain-MicroSmoke-r6,0,130,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public carry-chain structure adaptation,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,8192,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_bits,1,0.8303222656,0.0,0.8323974609,0.0,0.8323974609,0.0,0.8977280855,0.0,0.6606445312,0.0,0.6647949219,0.0,0.3996803625,0.0
SPECK32/64,ARX,arx_round_function_hybrid_pairset,ARX-RoundFunctionHybrid-CarryChain-MicroSmoke-r7,0,130,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public carry-chain structure adaptation,7,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,8192,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_bits,1,0.5,0.0,0.5103759766,0.0,0.5103759766,0.0,0.5073161423,0.0,0.0,0.0,0.0207519531,0.0,0.6931795692,0.0
