cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,10,0.7642883301,0.0142346351,0.7753814697,0.0091861362,0.7753814697,0.0091861362,0.851073985,0.0104019738,0.5285766602,0.0284692701,0.5507629395,0.0183722725,0.588152215,0.0470947834
PRESENT-80,SPN,moe_v5_soft_hpo_present_best,MoE-v5-Soft-HPO-Trial20,0,50,Innovation-one MoE v5 component HPO,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,10,0.7628204346,0.0178700392,0.7798248291,0.0077225399,0.7798248291,0.0077225399,0.8560166383,0.0082685922,0.5256408691,0.0357400784,0.5596496582,0.0154450799,0.6321754496,0.1104189075
PRESENT-80,SPN,spn_token_mixer_pairset,SPN-TokenMixer-PairSet,2,44,Innovation-one SPN token mixer pair-set model,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,10,0.7921569824,0.0143144502,0.7962036133,0.0160052173,0.7962036133,0.0160052173,0.8730819123,0.0160476689,0.5843139648,0.0286289003,0.5924072266,0.0320104345,0.4398992781,0.0229544674
