cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.7293548584,0.0003814697,0.7314910889,0.0009002686,0.7314910889,0.0009002686,0.7907550195,0.0023361677,0.4587097168,0.0007629395,0.4629821777,0.0018005371,0.52429346,0.000891611
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.791229248,0.0008544922,0.7927856445,0.001159668,0.7927856445,0.001159668,0.865180321,0.0011377335,0.5824584961,0.0017089844,0.5855712891,0.0023193359,0.4441753626,0.0017869882
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.8448944092,0.0020599365,0.8457336426,0.0022888184,0.8457336426,0.0022888184,0.9204805978,0.0011159405,0.6897888184,0.004119873,0.6914672852,0.0045776367,0.3531439407,0.00219627
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5482025146,0.003036499,0.5566101074,0.0010681152,0.5566101074,0.0010681152,0.575555617,0.0027951449,0.0964050293,0.006072998,0.1132202148,0.0021362305,0.6842598356,0.0001354367
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5750274658,0.000289917,0.576965332,0.0004272461,0.576965332,0.0004272461,0.6053471528,0.0011333991,0.1500549316,0.000579834,0.1539306641,0.0008544922,0.6728218924,7.96299e-05
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.6017608643,0.0029144287,0.6041412354,0.001083374,0.6041412354,0.001083374,0.6448958255,0.0008677617,0.2035217285,0.0058288574,0.2082824707,0.002166748,0.6597854234,0.0010269806
PRESENT-80,SPN,moe_v4_hard,MoE-v4-Hard,6,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,hard,32768,1,2,0.7904510498,0.0074920654,0.8048706055,0.003692627,0.8048706055,0.003692627,0.8740531951,0.0047092736,0.5809020996,0.0149841309,0.6097412109,0.0073852539,0.6738635078,0.0389099419
PRESENT-80,SPN,moe_v4_hard,MoE-v4-Hard,6,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,hard,32768,2,2,0.8933563232,0.0034332275,0.9065704346,0.0015106201,0.9065704346,0.0015106201,0.9622033089,0.0013030898,0.7867126465,0.0068664551,0.8131408691,0.0030212402,0.4271737197,0.0169212231
PRESENT-80,SPN,moe_v4_hard,MoE-v4-Hard,6,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,hard,32768,4,2,0.9691772461,0.0046386719,0.9730834961,0.0013122559,0.9730834961,0.0013122559,0.9950872622,0.0002712794,0.9383544922,0.0092773438,0.9461669922,0.0026245117,0.1165031597,0.011604721
PRESENT-80,SPN,moe_v4_hard,MoE-v4-Hard,6,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,hard,32768,1,2,0.5426330566,0.0108337402,0.5504608154,0.012588501,0.5504608154,0.012588501,0.5688424157,0.0151397334,0.0852661133,0.0216674805,0.1009216309,0.025177002,1.2417478859,0.0709542558
PRESENT-80,SPN,moe_v4_hard,MoE-v4-Hard,6,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,hard,32768,2,2,0.653717041,0.0119628906,0.6753387451,0.0063934326,0.6753387451,0.0063934326,0.7353198929,0.0095820436,0.307434082,0.0239257812,0.3506774902,0.0127868652,0.8683882747,0.053775182
PRESENT-80,SPN,moe_v4_hard,MoE-v4-Hard,6,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,hard,32768,4,2,0.761505127,0.0103759766,0.7688598633,0.0055847168,0.7688598633,0.0055847168,0.8452942427,0.0068770759,0.5230102539,0.0207519531,0.5377197266,0.0111694336,0.6015189029,0.0719289817
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,7,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,1,2,0.7897491455,0.0073394775,0.7998962402,3.05176e-05,0.7998962402,3.05176e-05,0.8698947355,0.0007836111,0.579498291,0.0146789551,0.5997924805,6.10352e-05,0.6699766852,0.0046905503
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,7,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,2,2,0.8885955811,0.0151519775,0.9116516113,0.0,0.9116516113,0.0,0.9651008053,0.00089576,0.7771911621,0.0303039551,0.8233032227,0.0,0.4295610944,0.0790135777
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,7,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,2,0.9738769531,0.0013122559,0.9743041992,0.0015869141,0.9743041992,0.0015869141,0.9954275051,0.0001294045,0.9477539062,0.0026245117,0.9486083984,0.0031738281,0.1162202712,0.0081944992
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,7,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,1,2,0.541229248,0.0067749023,0.5482330322,0.002456665,0.5482330322,0.002456665,0.568293171,0.0039943494,0.0824584961,0.0135498047,0.0964660645,0.0049133301,1.337696299,0.0003333166
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,7,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,2,2,0.6558227539,0.0086975098,0.6719970703,0.0037536621,0.6719970703,0.0037536621,0.7287322404,0.0027007898,0.3116455078,0.0173950195,0.3439941406,0.0075073242,0.8401777521,0.0871415436
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,7,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,2,0.7433776855,0.0175170898,0.7726135254,0.0033569336,0.7726135254,0.0033569336,0.8506094962,0.0035043936,0.4867553711,0.0350341797,0.5452270508,0.0067138672,0.7099795062,0.1152355056
PRESENT-80,SPN,multiscale_dense_resnet,MultiScale-Dense-ResNet,2,24,Conv/ResNet neural distinguisher literature,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.6891021729,0.0052032471,0.6936950684,0.001159668,0.6936950684,0.001159668,0.7440153817,0.0007561082,0.3782043457,0.0104064941,0.3873901367,0.0023193359,0.6184433531,0.031405082
PRESENT-80,SPN,multiscale_dense_resnet,MultiScale-Dense-ResNet,2,24,Conv/ResNet neural distinguisher literature,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.7212677002,0.0112762451,0.7456359863,0.0025024414,0.7456359863,0.0025024414,0.8062283043,0.0024154186,0.4425354004,0.0225524902,0.4912719727,0.0050048828,0.5279894304,0.0104013029
PRESENT-80,SPN,multiscale_dense_resnet,MultiScale-Dense-ResNet,2,24,Conv/ResNet neural distinguisher literature,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.7494812012,0.0552978516,0.8319244385,0.0006866455,0.8319244385,0.0006866455,0.9006738663,0.001030542,0.4989624023,0.1105957031,0.663848877,0.001373291,0.4882962471,0.0451058792
PRESENT-80,SPN,multiscale_dense_resnet,MultiScale-Dense-ResNet,2,24,Conv/ResNet neural distinguisher literature,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5062408447,0.0039215088,0.5269012451,0.0117950439,0.5269012451,0.0117950439,0.5345311761,0.014827311,0.0124816895,0.0078430176,0.0538024902,0.0235900879,0.7614993099,0.054610474
PRESENT-80,SPN,multiscale_dense_resnet,MultiScale-Dense-ResNet,2,24,Conv/ResNet neural distinguisher literature,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5433654785,0.0020751953,0.5471191406,0.0048522949,0.5471191406,0.0048522949,0.5617919518,0.0059463484,0.086730957,0.0041503906,0.0942382812,0.0097045898,0.6876375079,0.0030374974
PRESENT-80,SPN,multiscale_dense_resnet,MultiScale-Dense-ResNet,2,24,Conv/ResNet neural distinguisher literature,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.5381622314,0.0381622314,0.571182251,0.0057220459,0.571182251,0.0057220459,0.6001238758,0.0090054004,0.0763244629,0.0763244629,0.142364502,0.0114440918,0.7566168457,0.0772496872
PRESENT-80,SPN,resnet_bitslice,ResNet-BitSlice,4,21,Gohr 2019 inspired,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.6541595459,0.0149078369,0.6739044189,0.0032806396,0.6739044189,0.0032806396,0.7222953439,0.0038982574,0.3083190918,0.0298156738,0.3478088379,0.0065612793,0.6032334436,0.0086106826
PRESENT-80,SPN,resnet_bitslice,ResNet-BitSlice,4,21,Gohr 2019 inspired,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.7008361816,0.0029602051,0.7012481689,0.0029754639,0.7012481689,0.0029754639,0.7641359353,0.0025181575,0.4016723633,0.0059204102,0.4024963379,0.0059509277,0.566493826,0.0016369801
PRESENT-80,SPN,resnet_bitslice,ResNet-BitSlice,4,21,Gohr 2019 inspired,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.7730865479,0.0035552979,0.7764282227,0.0007629395,0.7764282227,0.0007629395,0.8516745484,0.0005835751,0.5461730957,0.0071105957,0.5528564453,0.0015258789,0.4712201832,0.0004234118
PRESENT-80,SPN,resnet_bitslice,ResNet-BitSlice,4,21,Gohr 2019 inspired,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5114746094,0.0010681152,0.5417327881,0.0004425049,0.5417327881,0.0004425049,0.5561820772,0.0013720319,0.0229492188,0.0021362305,0.0834655762,0.0008850098,0.7380769346,0.0266917367
PRESENT-80,SPN,resnet_bitslice,ResNet-BitSlice,4,21,Gohr 2019 inspired,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5235443115,0.0094146729,0.5475006104,0.0048065186,0.5475006104,0.0048065186,0.565043618,0.0062709982,0.047088623,0.0188293457,0.0950012207,0.0096130371,0.7017840259,0.0065138042
PRESENT-80,SPN,resnet_bitslice,ResNet-BitSlice,4,21,Gohr 2019 inspired,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.5387115479,0.0290374756,0.5672607422,0.0024719238,0.5672607422,0.0024719238,0.5931921126,0.0052529396,0.0774230957,0.0580749512,0.1345214844,0.0049438477,0.6977498438,0.0220277812
PRESENT-80,SPN,selector_rule_v2,Selector-Rule-v2,8,19,Innovation-one selector rule,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.6700286865,0.0020904541,0.6711273193,0.0023040771,0.6711273193,0.0023040771,0.7204566328,0.0023255618,0.340057373,0.0041809082,0.3422546387,0.0046081543,0.5924373008,0.0037371628
