cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
GIFT-64,SPN,spn_token_mixer_pairset,SPN-TokenMixer-PairSet,0,68,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment,4,gift64_shen2024_spn_screen,0,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguisher screening profile,,32768,4,8,0.9907646179,0.0072734654,0.9924545288,0.0062273762,0.9924545288,0.0062273762,0.9994220801,0.0005717275,0.9815292358,0.0145469308,0.9849090576,0.0124547523,0.027510671,0.0217250687
GIFT-64,SPN,spn_token_mixer_pairset,SPN-TokenMixer-PairSet,0,68,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment,5,gift64_shen2024_spn_screen,0,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguisher screening profile,,32768,4,8,0.8106155396,0.0558730201,0.8145370483,0.0554711881,0.8145370483,0.0554711881,0.8911205751,0.0531192209,0.6212310791,0.1117460402,0.6290740967,0.1109423762,0.4021854921,0.0938564829
GIFT-64,SPN,spn_token_mixer_pairset,SPN-TokenMixer-PairSet,0,68,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment,6,gift64_shen2024_spn_screen,0,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguisher screening profile,,32768,4,8,0.5070381165,0.01995646,0.5113945007,0.0189713939,0.5113945007,0.0189713939,0.5124118561,0.0277559169,0.0140762329,0.0399129199,0.0227890015,0.0379427877,0.6918774359,0.0035045359
