cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
GIFT-64,SPN,spn_token_mixer_pairset,SPN-TokenMixer-PairSet,0,72,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment,5,gift64_shen2024_spn_screen,0,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguisher screening profile,,32768,4,20,0.8051574707,0.0614201226,0.8092224121,0.0610335139,0.8092224121,0.0610335139,0.8851300386,0.059312737,0.6103149414,0.1228402452,0.6184448242,0.1220670278,0.4100509554,0.1009322303
GIFT-64,SPN,spn_token_mixer_pairset,SPN-TokenMixer-PairSet,0,72,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment,6,gift64_shen2024_spn_screen,0,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguisher screening profile,,32768,4,20,0.5044372559,0.0128479598,0.511038208,0.0145501402,0.511038208,0.0145501402,0.5119750767,0.0210474705,0.0088745117,0.0256959197,0.022076416,0.0291002805,0.6926461108,0.0020371256
