cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,5,0.7733703613,0.0061690029,0.7794921875,0.0043318882,0.7794921875,0.0043318882,0.8553086445,0.003795295,0.5467407227,0.0123380059,0.558984375,0.0086637765,0.5528310636,0.0058950164
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE v4,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,5,0.7627624512,0.0158362226,0.7776306152,0.0046819416,0.7776306152,0.0046819416,0.8539215449,0.0047240368,0.5255249023,0.0316724452,0.5552612305,0.0093638831,0.5919722887,0.0543480696
PRESENT-80,SPN,moe_v5_soft,MoE-v5-Soft,3,42,Innovation-one structure-expert MoE v5,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,5,0.7755554199,0.0040409053,0.7779418945,0.004772957,0.7779418945,0.004772957,0.8547629956,0.00471477,0.5511108398,0.0080818107,0.5558837891,0.009545914,0.5729911126,0.0244605034
PRESENT-80,SPN,moe_v5_soft_hpo_present_best,MoE-v5-Soft-HPO-Trial20,0,50,Innovation-one MoE v5 component HPO,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,5,0.7794494629,0.0041585058,0.7816589355,0.0045136148,0.7816589355,0.0045136148,0.8593188569,0.0039649284,0.5588989258,0.0083170115,0.5633178711,0.0090272296,0.5517342456,0.037472205
