cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,present_inception_mcnd,Present-Inception-MCND-ZW2022,0,92,Zhang/Wang 2022 arXiv:2204.06341 PRESENT 6-7 round Inception-MCND reproduction protocol scaffold,6,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,8192,16,3,0.5,0.0,0.5144856771,0.0006636355,0.5144856771,0.0006636355,0.5125104785,0.0023366222,0.0,0.0,0.0289713542,0.001327271,0.6934972244,0.000147457
PRESENT-80,SPN,present_inception_mcnd,Present-Inception-MCND-ZW2022,0,92,Zhang/Wang 2022 arXiv:2204.06341 PRESENT 6-7 round Inception-MCND reproduction protocol scaffold,7,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,8192,16,3,0.5,0.0,0.5089111328,0.0010405853,0.5089111328,0.0010405853,0.5064579844,0.001715404,0.0,0.0,0.0178222656,0.0020811705,0.693525893,0.0002537049
