cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,1,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.23e-08,4.03e-08
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,2,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.8e-09,2.4e-09
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,4,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.29e-08,8.21e-08
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,1,2,0.9995727539,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9991455078,0.0,1.0,0.0,0.0009850697,6.32201e-05
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,2,2,0.9998779297,0.0001220703,1.0,0.0,1.0,0.0,1.0,0.0,0.9997558594,0.0002441406,1.0,0.0,0.0004922729,0.0004674288
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,4,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.51064e-05,6.9129e-06
SM4,Feistel-like,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,soft,32768,1,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2e-10,2e-10
SM4,Feistel-like,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,soft,32768,2,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.784e-07,3.751e-07
SM4,Feistel-like,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,soft,32768,4,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.18e-08,5.15e-08
SM4,Feistel-like,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,4,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,soft,32768,1,2,0.999786377,9.15527e-05,1.0,0.0,1.0,0.0,1.0,0.0,0.9995727539,0.0001831055,1.0,0.0,0.0005276388,0.0002568722
