cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
SM4,Feistel-like,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,1,2,0.9999847412,1.52588e-05,1.0,0.0,1.0,0.0,1.0,0.0,0.9999694824,3.05176e-05,1.0,0.0,2.48133e-05,2.47187e-05
SM4,Feistel-like,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,2,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SM4,Feistel-like,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,4,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SM4,Feistel-like,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,4,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,1,2,0.9998016357,4.57764e-05,0.9999847412,1.52588e-05,0.9999847412,1.52588e-05,0.9999996796,3.204e-07,0.9996032715,9.15527e-05,0.9999694824,3.05176e-05,0.0008118078,0.0003087064
SM4,Feistel-like,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,4,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,2,2,0.9996490479,1.52588e-05,0.9999847412,1.52588e-05,0.9999847412,1.52588e-05,0.9999997197,2.803e-07,0.9992980957,3.05176e-05,0.9999694824,3.05176e-05,0.0011349178,3.1267e-05
SM4,Feistel-like,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,4,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,4,2,0.9994659424,0.0003204346,0.9997406006,0.0001678467,0.9997406006,0.0001678467,0.999997193,2.7586e-06,0.9989318848,0.0006408691,0.9994812012,0.0003356934,0.001859912,0.001002588
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,1,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.6586e-06,1.3608e-06
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,2,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.94e-08,7.2e-09
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,3,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,4,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.91e-08,5.86e-08
SM4,Feistel-like,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,sm4_yu2023_conv_resnet,0,Yu/Wu/Zhang 2023 SM4 convolutional residual network,,32768,1,2,0.9997558594,0.0001831055,0.9999694824,3.05176e-05,0.9999694824,3.05176e-05,0.9999997178,2.822e-07,0.9995117188,0.0003662109,0.9999389648,6.10352e-05,0.0008998222,0.0006882683
