cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,7,0,65536,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7/r8 aligned-only high-round screen for innovation-one SPN structure adaptation,Wang/Jain PRESENT neural differential profile; innovation-one public inverse-P aligned input
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,7,1,65536,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7/r8 aligned-only high-round screen for innovation-one SPN structure adaptation,Wang/Jain PRESENT neural differential profile; innovation-one public inverse-P aligned input
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,7,2,65536,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7/r8 aligned-only high-round screen for innovation-one SPN structure adaptation,Wang/Jain PRESENT neural differential profile; innovation-one public inverse-P aligned input
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,7,3,65536,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7/r8 aligned-only high-round screen for innovation-one SPN structure adaptation,Wang/Jain PRESENT neural differential profile; innovation-one public inverse-P aligned input
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,8,0,65536,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7/r8 aligned-only high-round screen for innovation-one SPN structure adaptation,Wang/Jain PRESENT neural differential profile; innovation-one public inverse-P aligned input
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,8,1,65536,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7/r8 aligned-only high-round screen for innovation-one SPN structure adaptation,Wang/Jain PRESENT neural differential profile; innovation-one public inverse-P aligned input
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,8,2,65536,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7/r8 aligned-only high-round screen for innovation-one SPN structure adaptation,Wang/Jain PRESENT neural differential profile; innovation-one public inverse-P aligned input
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,8,3,65536,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7/r8 aligned-only high-round screen for innovation-one SPN structure adaptation,Wang/Jain PRESENT neural differential profile; innovation-one public inverse-P aligned input
