cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,present_inception_mcnd,Present-Inception-MCND,0,88,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen,6,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,8192,4,6,0.5,0.0,0.5110066732,0.005992818,0.5110066732,0.005992818,0.5061421394,0.006783376,0.0,0.0,0.0220133464,0.0119856361,0.6936461,0.0003615445
PRESENT-80,SPN,present_inception_mcnd,Present-Inception-MCND,0,88,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen,6,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,8192,8,6,0.5,0.0,0.5095825195,0.0035761602,0.5095825195,0.0035761602,0.5073938966,0.0060047765,0.0,0.0,0.0191650391,0.0071523203,0.6932149976,6.4109e-05
PRESENT-80,SPN,present_inception_mcnd,Present-Inception-MCND,0,88,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen,6,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,8192,16,6,0.5,0.0,0.510559082,0.0048300113,0.510559082,0.0048300113,0.5061261555,0.0078816197,0.0,0.0,0.0211181641,0.0096600227,0.6935487694,0.0002904556
PRESENT-80,SPN,present_inception_mcnd,Present-Inception-MCND,0,88,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen,7,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,8192,4,3,0.5,0.0,0.5086263021,0.003386336,0.5086263021,0.003386336,0.5047572354,0.0052900365,0.0,0.0,0.0172526042,0.006772672,0.6933134024,0.0001027247
PRESENT-80,SPN,present_inception_mcnd,Present-Inception-MCND,0,88,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen,7,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,8192,8,3,0.5,0.0,0.5090332031,0.0037518836,0.5090332031,0.0037518836,0.5048360626,0.0062136546,0.0,0.0,0.0180664062,0.0075037671,0.6936256314,0.0003404499
PRESENT-80,SPN,present_inception_mcnd,Present-Inception-MCND,0,88,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen,7,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,8192,16,3,0.5,0.0,0.5112304688,0.0010780958,0.5112304688,0.0010780958,0.5060716867,0.0022707369,0.0,0.0,0.0224609375,0.0021561916,0.6934412022,0.0002081426
