cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,spn_pairset_dbitnet_v2,SPN-Cell-PairSet-DBitNet-v2,0,36,Innovation-one SPN-specific PairSet DBitNet v2,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.7221374512,0.0031738281,0.7333374023,0.0077209473,0.7333374023,0.0077209473,0.787577413,0.0131144226,0.4442749023,0.0063476562,0.4666748047,0.0154418945,0.6934736697,0.0061661741
PRESENT-80,SPN,spn_pairset_dbitnet_v2,SPN-Cell-PairSet-DBitNet-v2,0,36,Innovation-one SPN-specific PairSet DBitNet v2,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.8525695801,0.0040283203,0.8609008789,0.0038452148,0.8609008789,0.0038452148,0.9213546412,0.0052420525,0.7051391602,0.0080566406,0.7218017578,0.0076904297,0.4734116704,0.0350982989
PRESENT-80,SPN,spn_pairset_dbitnet_v2,SPN-Cell-PairSet-DBitNet-v2,0,36,Innovation-one SPN-specific PairSet DBitNet v2,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.9490661621,0.0022277832,0.9508361816,0.0024108887,0.9508361816,0.0024108887,0.98547165,0.0010331636,0.8981323242,0.0044555664,0.9016723633,0.0048217773,0.1923411203,0.0045362773
PRESENT-80,SPN,spn_pairset_dbitnet_v2,SPN-Cell-PairSet-DBitNet-v2,0,36,Innovation-one SPN-specific PairSet DBitNet v2,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5291595459,0.0044403076,0.5347747803,0.0001678467,0.5347747803,0.0001678467,0.5415891176,0.0032487242,0.0583190918,0.0088806152,0.0695495605,0.0003356934,0.815110906,0.0018139547
PRESENT-80,SPN,spn_pairset_dbitnet_v2,SPN-Cell-PairSet-DBitNet-v2,0,36,Innovation-one SPN-specific PairSet DBitNet v2,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5729980469,0.0110778809,0.5866394043,0.0011291504,0.5866394043,0.0011291504,0.6153381346,0.001818574,0.1459960938,0.0221557617,0.1732788086,0.0022583008,0.9173137937,0.0917911548
PRESENT-80,SPN,spn_pairset_dbitnet_v2,SPN-Cell-PairSet-DBitNet-v2,0,36,Innovation-one SPN-specific PairSet DBitNet v2,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.6686706543,0.0091552734,0.6855163574,0.0025024414,0.6855163574,0.0025024414,0.747804774,0.0038483758,0.3373413086,0.0183105469,0.3710327148,0.0050048828,0.8187523205,0.0002363473
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,2,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.7196350098,0.0102844238,0.7358398438,0.0035705566,0.7358398438,0.0035705566,0.7945013465,0.0039387075,0.4392700195,0.0205688477,0.4716796875,0.0071411133,0.7666375786,0.0193356741
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,2,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.8605957031,0.0042724609,0.8636474609,0.0020751953,0.8636474609,0.0020751953,0.924990668,0.0023732977,0.7211914062,0.0085449219,0.7272949219,0.0041503906,0.5108309179,0.0094961035
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,2,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.9469909668,0.0006408691,0.947265625,0.0004577637,0.947265625,0.0004577637,0.9835362732,0.000568185,0.8939819336,0.0012817383,0.89453125,0.0009155273,0.2219588882,0.0006112009
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,2,34,Innovation-one structure-adaptive pair-set DBitNet,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.527053833,0.002243042,0.5359344482,0.002243042,0.5359344482,0.002243042,0.5438529663,0.0016550701,0.054107666,0.004486084,0.0718688965,0.004486084,0.8950039698,0.0097956145
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,2,34,Innovation-one structure-adaptive pair-set DBitNet,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5739593506,0.0016326904,0.5796661377,0.00340271,0.5796661377,0.00340271,0.6049618982,0.0039891452,0.1479187012,0.0032653809,0.1593322754,0.0068054199,0.9137306493,0.0327521842
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,2,34,Innovation-one structure-adaptive pair-set DBitNet,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.6922149658,0.0064849854,0.7016601562,0.0020141602,0.7016601562,0.0020141602,0.768488721,0.0010554856,0.3844299316,0.0129699707,0.4033203125,0.0040283203,0.8154972568,0.0112314019
