cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.6924743652,0.0108032227,0.7036895752,0.0017242432,0.7036895752,0.0017242432,0.7593828244,0.0051734941,0.3849487305,0.0216064453,0.4073791504,0.0034484863,0.8624601383,0.0092662182
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.8276824951,0.0047454834,0.8357849121,0.0028381348,0.8357849121,0.0028381348,0.9000704717,0.0034509245,0.6553649902,0.0094909668,0.6715698242,0.0056762695,0.6481914502,0.0148204695
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.9283294678,0.0045928955,0.9323272705,0.0008392334,0.9323272705,0.0008392334,0.9757743143,0.0004909001,0.8566589355,0.009185791,0.864654541,0.0016784668,0.3214356005,0.0081865229
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.526184082,6.10352e-05,0.5307006836,0.0003356934,0.5307006836,0.0003356934,0.5403190451,0.0010701837,0.0523681641,0.0001220703,0.0614013672,0.0006713867,0.9539513476,0.0336161777
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5617828369,0.0044708252,0.5704345703,0.0020141602,0.5704345703,0.0020141602,0.594123845,0.000960567,0.1235656738,0.0089416504,0.1408691406,0.0040283203,1.0216732901,0.0073088463
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.6181793213,0.001663208,0.6195831299,0.0015716553,0.6195831299,0.0015716553,0.6621212196,0.0007848591,0.2363586426,0.003326416,0.2391662598,0.0031433105,0.9303197712,0.0174840614
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,1,2,0.8426361084,0.0043792725,0.8443756104,0.0059356689,0.8443756104,0.0059356689,0.9037229437,0.0096672829,0.6852722168,0.0087585449,0.6887512207,0.0118713379,0.4738459615,0.0041004615
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,2,2,0.9153137207,0.001953125,0.9229278564,0.0042266846,0.9229278564,0.0042266846,0.9715829082,0.0036551524,0.8306274414,0.00390625,0.8458557129,0.0084533691,0.288206093,0.0143668167
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,4,2,0.9775085449,0.0001220703,0.9782104492,9.15527e-05,0.9782104492,9.15527e-05,0.99690565,0.0001344187,0.9550170898,0.0002441406,0.9564208984,0.0001831055,0.0990813257,0.0031644903
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,1,2,0.6438293457,0.0155639648,0.6575164795,0.0109100342,0.6575164795,0.0109100342,0.6903383229,0.0142391063,0.2876586914,0.0311279297,0.315032959,0.0218200684,0.8376958035,0.005693838
